_id,_rev,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row,topic,payload,qos,retain
000ac62b7850525df9febd4a670e232e,1-6b1e474a57f306eee38b93d5acb6a3cb,2018-5-18,Trianon-Masp,-23.5634,-46.6544,45104,34,62,27,15,13,36,13,29,NORMAL,1578.0,,,,
000ac62b7850525df9febd4a6713dcd3,1-1b7cc2fea69a48354a3e488bf6207a97,2019-11-30,Tamanduateí,-23.5929,-46.5897,53360,74,49,65,42,37,3,28,16,NORMAL,3570.0,,,,
000ac62b7850525df9febd4a671540dc,1-240fe2514c177df92a1e8627a39fcdf5,2019-12-25,Tamanduateí,-23.5929,-46.5897,51358,3,37,30,17,15,43,6,4,REABASTECER,3595.0,,,,
000ac62b7850525df9febd4a671a2cd9,1-950bd3e3f0c02b57c0b82013515ac220,2018-3-8,Sé,-23.55,-46.6333,193499,8,49,65,8,4,19,39,35,NORMAL,3668.0,,,,
000ac62b7850525df9febd4a671a76fa,1-fbc82cb0ec755b94613c520249702ceb,2018-11-2,Trianon-Masp,-23.5634,-46.6544,42740,70,18,8,1,31,43,26,3,NORMAL,1742.0,,,,
000ac62b7850525df9febd4a67271cf9,1-fb1b6c5ea417ba8fbe47c57ee66c7844,2018-2-24,Brás,-23.5451,-46.6162,70997,64,38,19,14,7,39,38,28,NORMAL,4374.0,,,,
000ac62b7850525df9febd4a67383c64,1-99ba4e41e43f4e943bd600cd1692060c,2018-9-27,Brás,-23.5451,-46.6162,71692,62,49,45,37,19,37,41,14,NORMAL,4587.0,,,,
000ac62b7850525df9febd4a6742c604,1-90dabc149635695c5a1e2fcc3db7b953,2019-8-4,Sé,-23.55,-46.6333,191932,74,34,32,12,43,16,31,43,NORMAL,4174.0,,,,
000ac62b7850525df9febd4a67435f83,1-ca8d57a93cde03b467837ea0ff92df24,2019-8-15,Sé,-23.55,-46.6333,193963,54,30,24,15,38,16,25,38,NORMAL,4185.0,,,,
000ac62b7850525df9febd4a67488ae0,1-938d65ae149b6e0e073d209d2a29f0fa,2019-11-3,Sé,-23.55,-46.6333,194593,66,40,65,43,43,33,6,15,NORMAL,4263.0,,,,
000ac62b7850525df9febd4a674fc83a,1-69934f8b06e5e5219de6a9f437b12525,2018-2-6,Brás,-23.5451,-46.6162,74406,78,63,15,23,37,13,30,19,NORMAL,4356.0,,,,
000ac62b7850525df9febd4a6756d97a,1-a62db00d092619f872578c6aef76146b,2018-11-24,Consolação,-23.5581,-46.6606,114684,3,43,61,27,24,25,28,32,NORMAL,2484.0,,,,
000ac62b7850525df9febd4a67571adc,1-f9b0c2f6409011ead78a7c0ccac40fb1,2019-12-10,Brás,-23.5451,-46.6162,70586,7,58,40,16,13,20,40,43,REABASTECER,5020.0,,,,
000ac62b7850525df9febd4a67644436,1-d9535d3235faf69779ee09d76c6bf7ce,2018-11-21,Brás,-23.5451,-46.6162,70641,44,47,13,20,43,43,28,35,NORMAL,4641.0,,,,
000ac62b7850525df9febd4a6764d120,1-b62d636030a9f912e9ed06376058f205,2018-6-11,Barra Funda,-23.5542,-46.6707,146876,48,25,61,14,39,32,3,38,REABASTECER,5201.0,,,,
000ac62b7850525df9febd4a6764e1ff,1-6c7e624370dc13bfd4db61d0d91adcb6,2018-11-28,Brás,-23.5451,-46.6162,73106,65,7,35,43,12,17,3,7,REABASTECER,4648.0,,,,
000ac62b7850525df9febd4a67701215,1-5469cdab1949d39659fed7e4365d808c,2019-5-5,Brás,-23.5451,-46.6162,74481,56,45,65,40,11,27,39,8,NORMAL,4805.0,,,,
000ac62b7850525df9febd4a67744e35,1-2b96c4aa58aadffa3f67329788c9d29e,2018-1-7,Tamanduateí,-23.5929,-46.5897,50009,25,33,28,24,20,18,14,23,NORMAL,2887.0,,,,
000ac62b7850525df9febd4a6774869a,1-6af756da4b9236803d6630a6ed042030,2018-1-9,Tamanduateí,-23.5929,-46.5897,49888,1,16,12,21,12,17,6,14,REABASTECER,2889.0,,,,
000ac62b7850525df9febd4a67757bff,1-fb0432a20b0f5a4fd27935b7dab99891,2019-7-18,Brás,-23.5451,-46.6162,70946,28,40,10,14,17,18,6,19,REABASTECER,4878.0,,,,
000ac62b7850525df9febd4a6775f643,1-388b20e5eb72111d4713abc2aa3d9686,2018-1-26,Tamanduateí,-23.5929,-46.5897,53217,28,34,32,25,30,43,11,29,NORMAL,2906.0,,,,
000ac62b7850525df9febd4a677b1913,1-006757a9217dad85e1fd3371c5c77811,2018-4-6,Tamanduateí,-23.5929,-46.5897,52634,57,19,65,38,5,18,32,4,REABASTECER,2976.0,,,,
000ac62b7850525df9febd4a67882fb9,1-2f5e9d728e1ea043b3f14e92e83bd000,2018-9-22,Tamanduateí,-23.5929,-46.5897,52873,57,46,11,36,43,14,7,37,NORMAL,3142.0,,,,
000ac62b7850525df9febd4a678977d1,1-e92bfb8d72aad31c622c499ea03b35ca,2018-10-12,Tamanduateí,-23.5929,-46.5897,53338,22,65,8,22,11,24,13,10,REABASTECER,3162.0,,,,
000ac62b7850525df9febd4a678d7fcb,1-ca43f66508605cc14f62ca556c67888c,2019-12-26,Barra Funda,-23.5542,-46.6707,149288,86,19,26,39,39,36,9,6,NORMAL,5756.0,,,,
000ac62b7850525df9febd4a67981f5c,1-44e87901eca8b2bb7c39b8c60c580712,2019-4-28,Tamanduateí,-23.5929,-46.5897,52575,73,18,58,37,11,14,6,9,REABASTECER,3358.0,,,,
000ac62b7850525df9febd4a67a0990d,1-60e3344f54a8fd7d77991bde079f93eb,2018-9-20,Tatuapé,-23.5402,-46.5765,67877,70,40,5,20,12,20,5,21,NORMAL,6020.0,,,,
000ac62b7850525df9febd4a67a142a7,1-dac413e4451887b731df97dfe7893e84,2018-10-2,Tatuapé,-23.5402,-46.5765,68025,53,24,40,24,43,14,6,19,NORMAL,6032.0,,,,
